,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2016-05-09,,,Editor's Corner,,3,-,0,2016-05-09,2016-05-09,This issue of Geophysics,81
1,2015-09-30,Uppsala University; Geological Survey of Sweden; Geological Survey of Sweden,Laust B. Pedersen; Mehrdad Bastani,Case Histories,Sweden; Sweden; Sweden,3,magnetization; magnetics; gravity; correlation; acquisition,1,2016-04-06,2015-02-12,Estimating rock-vector magnetization from coincident measurements of magnetic field and gravity gradient tensor,81
2,2015-12-21,Uppsala University; Isfahan University of Technology; Uppsala University,Sayyed Mohammad Abtahi; Laust Börsting Pedersen; Jochen Kamm; Thomas Kalscheuer,Case Histories,Sweden; Iran; Sweden,3,gravity; modeling; noise; processing,3,2016-04-06,2014-09-10,"Consistency investigation, vertical gravity estimation, and inversion of airborne gravity gradient data — A case study from northern Sweden",81
3,2016-02-25,Xi’an Jiaotong University; Changqing Oilfield Company; Changqing Oilfield Company,Zhiguo Wang; Jinghuai Gao; Xiaolan Lei; Xiaojie Cui; Daxing Wang,Case Histories,China; China; China,3,seismic attributes; reservoir characterization; Asia; case history,4,2016-04-06,2015-04-27,"Application of 3D seismic attributes to optimize the placement of horizontal wells within a tight gas sand reservoir, Ordos Basin, China",81
4,2016-01-26,China University of Petroleum,Cheng Yuan; Jingye Li; Xiaohong Chen; Ying Rao,Case Histories,China,3,inversion; lithology; reservoir characterization; case history,2,2016-04-20,2015-04-13,Quantitative uncertainty evaluation of seismic facies classification: A case study from northeast China,81
5,2016-01-04,Norwegian University of Science and Technology,Qi Hao; Alexey Stovas,Anisotropy,Norway,3,anisotropy; modeling; wave propagation; traveltime,8,2016-04-06,2015-03-07,Analytic calculation of phase and group velocities of P-waves in orthorhombic media,81
6,2016-02-10,Norwegian University of Science and Technology (NTNU),Qi Hao; Alexey Stovas,Anisotropy,Norway,3,anisotropy; P-wave; traveltime; ray tracing; modeling,4,2016-04-20,2015-08-21,P-wave slowness surface approximation for tilted orthorhombic media,81
7,2016-02-10,Norwegian University of Science and Technology,Yuriy Ivanov; Alexey Stovas,Anisotropy,Norway,3,anisotropy; effective; modeling; P-wave,2,2016-04-27,2015-07-21,Upscaling in orthorhombic media: Behavior of elastic parameters in heterogeneous fractured earth,81
8,2015-11-13,Chevron Energy Technology Company; Chevron Energy Technology Company,James W. SpencerJr.; Jacob Shine,Borehole Geophysics and Rock Properties,USA; USA,3,attenuation; dispersion; Q; P-wave; shear wave (S-wave),9,2016-04-12,2015-06-25,Seismic wave attenuation and modulus dispersion in sandstones,81
9,2016-01-03,University of Memphis; PetroChina International Inc.,Charles A. Langston; Mehari Melak Ayele,Borehole Geophysics and Rock Properties,USA; USA,3,borehole geophysics; vertical seismic profile (VSP); velocity analysis; attenuation; downhole receivers,0,2016-04-12,2015-07-27,Vertical seismic wave gradiometry: Application at the San Andreas Fault Observatory at Depth,81
