,Accepted,Affiliations,Authors,Category,Countries,Issue,Keywords,Ncitations,Published,Received,Title,Volume
0,2014-03-11,,,Editor's Corner,,2,-,0,2014-03-11,2014-03-11,This issue of Geophysics,79
1,2013-11-06,Yazd University,Myriam Schmutz; Ahmad Ghorbani; Pierre Vaudelet; Amélie Blondel,Geophysics Letters,France; Iran; France; France,2,acquisition; arrays; electromagnetics; environmental; induced polarization (IP),3,2014-01-10,2013-08-09,Cable arrangement to reduce electromagnetic coupling effects in spectral-induced polarization studies,79
2,2013-11-24,Chinese Academy of Sciences,Xiao He; Hao Chen; Xiuming Wang,Geophysics Letters,China,2,acoustic; borehole geophysics; finite difference; logging; wave propagation,8,2014-02-17,2013-09-27,Ultrasonic leaky flexural waves in multilayered media: Cement bond detection for cased wellbores,79
3,2013-10-09,Helmholtz Centre Potsdam; Uppsala University; Helmholtz Centre Potsdam; Technical University Berlin; University of Leipzig,P. Bergmann; M. Ivandic; B. Norden; C. Rücker; D. Kiessling; S. Lüth; C. Schmidt-Hattenberger; C. Juhlin,Case Histories,Germany; Sweden; Germany; Germany; Germany,2,monitoring; time-lapse; resistivity,8,2013-12-19,2013-03-28,"Combination of seismic reflection and constrained resistivity inversion with an application to 4D imaging of the CO2 storage site, Ketzin, Germany",79
4,2013-11-24,Massachusetts Institute of Technology; Los Alamos National Laboratory; Massachusetts Institute of Technology; Los Alamos National Laboratory,Di Yang; Alison Malcolm; Michael Fehler; Lianjie Huang,Case Histories,USA; USA; USA; USA,2,vertical seismic profile (VSP); case history; reservoir characterization; tomography; time-lapse,10,2014-02-17,2013-07-21,Time-lapse walkaway vertical seismic profile monitoring for CO2 injection at the SACROC enhanced oil recovery field: A case study,79
5,2013-11-06,"United States Geological Survey; Colorado School of Mines; Colorado School of Mines; Colorado School of Mines; Hunter Dickinson, Inc.; United States Geological Survey",Eric D. Anderson; Wei Zhou; Yaoguo Li; Murray W. Hitzman; Thomas Monecke; James R. Lang; Karen D. Kelley,Case Histories,USA; USA; USA; Canada; USA,2,3D; interpretation; magnetic susceptibility; magnetics; modeling,3,2014-02-21,2013-08-30,Three-dimensional distribution of igneous rocks near the Pebble porphyry Cu-Au-Mo deposit in southwestern Alaska: Constraints from regional-scale aeromagnetic data,79
6,2013-10-01,University of Houston; BP America Inc.; University of Arkansas; University of Houston,Jintan Li; Christopher Liner; Robert Stewart,Case Histories,USA; USA; USA; USA,2,4D; modeling; monitoring,1,2014-02-26,2012-11-12,"Time-lapse seismic modeling for CO2 sequestration at the Dickman Oilfield, Kansas",79
7,2013-12-16,Uppsala University; Geological Survey of Sweden,Emil Lundberg; Alireza Malehmir; Christopher Juhlin; Mehrdad Bastani; Magnus Andersson,Case Histories,Sweden; Sweden,2,3D; reflection; near surface; environmental,9,2014-02-26,2013-06-18,High-resolution 3D reflection seismic investigation over a quick-clay landslide scar in southwest Sweden,79
8,2013-12-16,CSIRO Earth Science and Resource Engineering; Coalbed Geoscience Pty Ltd; Velseis Pty Ltd; Chinese Academy of Sciences,Binzhong Zhou; Peter Hatherly; Troy Peters; Weijia Sun,Case Histories,Australia; Australia; Australia; China,2,-,0,2014-03-03,2013-07-11,"Coal seismic surveying over near-surface basalts: Experience from Central Queensland, Australia",79
9,2013-11-20,,Zvi Koren; Igor Ravve,Anisotropy,,2,anisotropy; inversion; velocity analysis; P-wave,14,2014-02-26,2013-05-08,Azimuthally dependent anisotropic velocity model update,79
10,2013-11-06,Weatherford,Said Assous; Peter Elkington; James Whetton,Borehole Geophysics and Rock Properties,UK,2,borehole geophysics; signal processing; imaging; sparse; resistivity log,3,2014-01-10,2013-05-15,Microresistivity borehole image inpainting,79
11,2013-11-08,Stanford University; Stanford University,Adam M. Allan; Tiziana Vanorio; Jeremy E. P. Dahl,Borehole Geophysics and Rock Properties,USA; USA,2,acoustic; anisotropy; rock physics; P-wave; time-lapse,14,2014-01-10,2013-07-08,Pyrolysis-induced P-wave velocity anisotropy in organic-rich shales,79
12,2013-10-05,Geomodulus Co. Ltd; Research Institute of Coal Geophysical Exploration; Research Institute of Petroleum Exploration and Development,Xin-Ping Chen; Quanming Huo; Jiandong Lin; Yang Wang; Fenjin Sun; Wuzhong Li; Guizhong Li,Borehole Geophysics and Rock Properties,,2,amplitude variation with offset (AVO); coal,4,2014-01-21,2013-06-02,Theory of CBM AVO: I. Characteristics of anomaly and why it is so,79
13,2013-11-17,Delft University of Technology,Shohei Minato; Ranajit Ghose,Borehole Geophysics and Rock Properties,The Netherlands,2,fractures; scattering; random; spectral analysis; least squares,3,2014-02-17,2013-05-03,Power spectral density of the heterogeneous fracture compliance from scattered elastic wavefields,79
14,2013-12-13,University of Calgary; The University of British Columbia; University of Calgary,A. Rowan Cockett; Adam Pidlisecky,Borehole Geophysics and Rock Properties,Canada; Canada; Canada,2,rock physics; time-lapse; resistivity; hydrology; modeling,1,2014-02-26,2013-02-12,Simulated electrical conductivity response of clogging mechanisms for managed aquifer recharge,79
15,2013-12-05,China University of Petroleum; CCDC Well Logging Company,Wu Wensheng; Niu Wei; Luo Li,Borehole Geophysics and Rock Properties,China; China,2,Geochemical elemental logging; quantitative analysis of energy spectra; direct demodulation method; spectral analysis effect,1,2014-02-26,2013-08-07,Quantitative analysis of neutron-capture gamma-ray energy spectra using direct demodulation,79
16,2013-11-28,University of Texas at Austin; AGH University of Science and Technology; University of Texas at Austin,Paweł J. Matuszyk; Carlos Torres-Verdín,Borehole Geophysics and Rock Properties,USA; Poland; USA,2,borehole geophysics; acoustic; logging; modeling; wave propagation,4,2014-02-26,2013-07-23,Frequency-domain simulation of logging-while-drilling borehole sonic waveforms,79
17,2013-11-06,Norwegian University of Science and Technology; Tullow Oil; University of Bergen; Norsar,Per Avseth; Tor Arne Johansen; Aiman Bakhorji; Husam M. Mustafa,Borehole Geophysics and Rock Properties,Norway; Norway; Norway; Norway; Saudi Arabia,2,modeling; rock-physics; porosity; Middle East; log analysis,7,2014-02-27,2013-06-20,Rock-physics modeling guided by depositional and burial history in low-to-intermediate-porosity sandstones,79
18,2013-12-20,University of Wyoming,Dario Grana,Borehole Geophysics and Rock Properties,USA,2,rock physics; statistics; porosity; reservoir characterization,9,2014-02-27,2013-09-04,Probabilistic approach to rock physics modeling,79
19,2013-11-08,University of California San Diego,Robert L. Parker,Electrical and Electromagnetic Methods,USA,2,2D; electromagnetics; magnetotelluric,0,2015-04-07,2013-09-06,Anomalous phases in TE-mode magnetotellurics,79
20,2013-10-24,NTNU–Norwegian University of Science and Engineering; NTNU–Norwegian University of Science and Engineering; Statoil Research Centre Rotvoll,Lutz Mütschard; Ketil Hokstad; Bjørn Ursin,Electrical and Electromagnetic Methods,Norway; Norway,2,electromagnetics; 3D,2,2014-02-17,2013-02-17,Estimation of seafloor electromagnetic receiver orientation,79
21,2013-11-17,División de Ciencias de la Tierra,Enrique Gómez-Treviño; Francisco J. Esparza; Yunuhen Muñiz; Armando Calderón,Electrical and Electromagnetic Methods,México,2,Magnetotelluric; EMAP; COPROD2; COPROD2S2; static shifts,2,2014-02-17,2012-12-14,The magnetotelluric transverse electric mode as a natural filter for static effects: Application to the COPROD2 and COPROD2S2 data sets,79
22,2013-12-13,GFZ German Research Centre for Geosciences; GFZ German Research Centre for Geosciences,Alexander V. Grayver; Rita Streich; Oliver Ritter,Electrical and Electromagnetic Methods,Germany; The Netherlands,2,3D; electromagnetics; imaging; inversion; resolution,22,2014-03-03,2013-05-13,3D inversion and resolution analysis of land-based CSEM data from the Ketzin CO2 storage formation,79
23,2013-10-01,,Elliot Grunewald; Rosemary Knight; David Walsh,Engineering and Environmental Geophysics,,2,groundwater; nuclear; magnetization; permeability,10,2014-01-10,2013-03-11,Advancement and validation of surface nuclear magnetic resonance spin-echo measurements of T2,79
